"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"306","3688","4303",-15.974,0,0.863106,0.651341,1
"307","526","9753",-283.598,0,0.61665,0.518203,1
"308","1863","11992",-459.055,0,0.79922,0.583409,1
"309","1334","2780",-39.153,0,0.602708,0.521376,1
"310","778","10176",-306.98,0,0.745724,0.484487,1
"311","1086","3796",-91.101,0,0.635425,0.540244,1
"312","7621","8359",-18.994,0,0.696145,0.563861,1
"313","368","5247",-149.886,0,0.746768,0.534231,1
"314","368","8218",-222.162,0,0.70361,0.482485,1
"315","2300","8633",-523.193,0,0.817397,0.631497,1
"316","5322","7621",-57.022,0,0.831015,0.70528,1
"317","7675","9352",249.138,0,0.657028,0.537065,1
"318","778","8849",-238.993,0,0.806453,0.644677,1
"319","7675","8492",284.131,0,0.708334,0.561772,1
"320","5837","11367",-253.09,0,0.695411,0.467447,1
"321","4303","11402",-309.115,0,0.764378,0.564155,1
"322","2342","2378",-3.045,0,0.699665,0.435427,1
"323","7675","8168",295.104,0,0.779005,0.538632,1
"324","9784","11534",-161.059,0,0.604942,0.574454,1
"325","3431","11402",-336.119,0,0.660073,0.414683,1
"326","1086","8807",-228.171,0,0.610502,0.492882,1
"327","9343","11255",-143.067,0,0.685494,0.488239,1
"328","856","5333",-136.149,0,0.607381,0.411608,1
"329","3688","3782",-1.985,0,0.734184,0.471508,1
"330","9409","10685",-74.035,0,0.617487,0.411516,1
"331","6968","9343",-72.994,0,0.742597,0.58935,1
"332","2786","6135",-109.928,0,0.775975,0.542611,1
"333","3656","11295",-313.091,0,0.752272,0.464807,1
"334","3110","5322",-68.027,0,0.894507,0.746911,1
"335","368","5322",-151.123,0,0.764265,0.533544,1
"336","5716","8807",-78.065,0,0.636632,0.442931,1
"337","3656","12599",-667.234,0,0.640427,0.409643,1
"338","3110","8168",-136.051,0,0.770192,0.501829,1
"339","46","3431",-106.994,0,0.799294,0.614195,1
"340","2000","12378",-566.134,0,0.702577,0.41666,1
"341","1863","2356",-6.01099,0,0.795252,0.587833,1
"342","8218","10064",-79.937,0,0.662946,0.407757,1
"343","3699","12314",-481.211,0,0.711902,0.440647,1
"344","3697","12314",-481.175,0,0.732568,0.502296,1
"345","8337","12094",-289.928,0,0.718246,0.474756,1
"346","5837","7621",-36.019,0,0.722017,0.549258,1
"347","3110","4303",-37.957,0,0.768405,0.592228,1
"348","46","9343",-277.061,0,0.757797,0.549158,1
"349","3697","8399",-122.018,0,0.882419,0.705636,1
"350","1194","2780",-43.99,0,0.815423,0.607633,1
"351","5918","9380",-93.162,0,0.676143,0.449081,1
"352","1086","5247",-132.907,0,0.814201,0.610943,1
